people,images,n_neighbors,duration
1,1,1,1.3848762519992306
1,1,2,1.139582376999897
1,1,3,1.1430845559989393
1,1,4,1.1555831599998783
1,1,5,1.17360589800046
1,1,6,1.2905200999994122
1,1,7,1.2079170479992172
1,1,8,1.1869997039993905
1,1,9,1.1823387710010138
1,2,1,2.4706284620006045
1,2,2,2.382914776000689
1,2,3,2.416300366001451
1,2,4,2.4343378739995387
1,2,5,2.4752387380012806
1,2,6,2.4222143520000827
1,2,7,2.4278003469989926
1,2,8,2.4052607899993745
1,2,9,2.4827584699996805
1,3,1,3.5676724559998547
1,3,2,3.608367246999478
1,3,3,3.6972565169999143
1,3,4,3.5937818940001307
1,3,5,3.573711862998607
1,3,6,3.5795429080008034
1,3,7,3.652687089999745
1,3,8,3.6356897099994967
1,3,9,4.324435565999011
1,4,1,4.227679010999054
1,4,2,2.6602463429990166
1,4,3,2.042531080000117
1,4,4,2.08148780800002
1,4,5,3.584569085000112
1,4,6,4.291413846000069
1,4,7,2.664120305000324
1,4,8,2.060197386999789
1,4,9,2.023896930999399
1,5,1,4.064130468999792
1,5,2,7.554927526000029
1,5,3,5.4417273409999325
1,5,4,5.4919667539998045
1,5,5,3.161712206001539
1,5,6,4.106697130999237
1,5,7,5.106770768001297
1,5,8,3.68019213000116
1,5,9,4.427451117000601
1,6,1,5.6444167619993095
1,6,2,6.340621014000135
1,6,3,3.57626741400054
1,6,4,5.272855404000438
1,6,5,3.146949203999611
1,6,6,3.0630590959990514
1,6,7,3.0132312440000533
1,6,8,3.038600867999776
1,6,9,3.0913495410004543
1,7,1,3.7112286649989983
1,7,2,3.646932243000265
1,7,3,3.823746300999119
1,7,4,4.598987323999609
1,7,5,4.699001508000947
1,7,6,6.762092224000298
1,7,7,3.689151463999224
1,7,8,3.841376569998829
1,7,9,3.6713922990002175
1,8,1,5.420396385999993
1,8,2,5.5180022539989295
1,8,3,5.583400359999359
1,8,4,5.81989430899921
1,8,5,4.217094938001537
1,8,6,4.202098285999455
1,8,7,6.117255389001002
1,8,8,7.062578144001236
1,8,9,6.137719690999802
1,9,1,6.01604085299914
1,9,2,6.354339490999337
1,9,3,5.049505398999827
1,9,4,4.608475445000295
1,9,5,5.13175122299981
1,9,6,5.675758276000124
1,9,7,6.962309184000333
1,9,8,5.706629381000312
1,9,9,6.938667435999378
1,10,1,5.649025029000768
1,10,2,6.042914139001368
1,10,3,6.058479739998802
1,10,4,8.272441721001087
1,10,5,11.91682651299925
1,10,6,10.517167921998407
1,10,7,7.99570410600063
1,10,8,10.402879080000275
1,10,9,8.277866120999533
1,11,1,8.406227872999807
1,11,2,6.101249146000555
1,11,3,5.819355617999463
1,11,4,6.485575564000101
1,11,5,7.7877361589999055
1,11,6,8.077750404001563
1,11,7,5.68325256999924
1,11,8,5.689932311999655
1,11,9,5.86033463899912
1,12,1,6.242814978999377
1,12,2,6.092392546001065
1,12,3,6.07887948500138
1,12,4,6.185661068000627
1,12,5,6.197962329999427
1,12,6,6.1157766619999165
1,12,7,6.157888064000872
1,12,8,6.05922629700035
1,12,9,6.074681281999801
1,13,1,6.605920418000096
1,13,2,6.604625367999688
1,13,3,6.85850388200015
1,13,4,6.584297748999234
1,13,5,6.608602487000098
1,13,6,6.622787886999504
1,13,7,6.615228831000422
1,13,8,6.630156340001122
1,13,9,6.565333047999957
1,14,1,7.099559218999275
1,14,2,7.084131401999912
1,14,3,7.074496786999589
1,14,4,7.133012145999601
1,14,5,7.057221745000788
1,14,6,7.1543045380003605
1,14,7,7.112117369000771
1,14,8,7.055131529001301
1,14,9,7.054855151998709
1,15,1,7.588566091000757
1,15,2,7.585623641998609
1,15,3,7.565119351998874
1,15,4,7.573299636000229
1,15,5,7.587766070999351
1,15,6,7.770001148001029
1,15,7,7.593548902999828
1,15,8,7.570427026999823
1,15,9,7.562274890000481
