people,images,n_neighbors,duration
1,1,1,0.635254744000008
1,1,2,0.4196022520000042
1,1,3,0.4182430750000208
1,1,4,0.4152178560000266
1,1,5,0.41776205499996877
1,1,6,0.4165491499999803
1,1,7,0.41714665600005674
1,1,8,0.4188869100000261
1,1,9,0.4166701719999537
1,2,1,0.8325378019999903
1,2,2,0.8342277510000145
1,2,3,0.8271089299999517
1,2,4,0.829906483000002
1,2,5,0.8361584659999721
1,2,6,0.9095544319999931
1,2,7,1.1974560109999857
1,2,8,1.2964304039999774
1,2,9,1.4073093940000376
1,3,1,1.724706178999952
1,3,2,3.8494139549999886
1,3,3,3.6772922700000095
1,3,4,3.2291066420000334
1,3,5,3.606915015000027
1,3,6,3.6235457630000383
1,3,7,3.6276109720000136
1,3,8,3.636462404000042
1,3,9,3.58107959299997
1,4,1,4.774168442000018
1,4,2,4.79074622600001
1,4,3,4.795900748999998
1,4,4,4.804155628999979
1,4,5,4.770062901000017
1,4,6,4.768929703000026
1,4,7,5.417353058999993
1,4,8,5.063061920999985
1,4,9,4.776567593999971
1,5,1,6.033839502999967
1,5,2,6.357935225999995
1,5,3,5.979319879000002
1,5,4,6.0127193550000015
1,5,5,5.998691709000013
1,5,6,5.9495336770000335
1,5,7,6.015162353999983
1,5,8,5.963491261999991
1,5,9,6.022879297000031
1,6,1,7.301828814000032
1,6,2,7.312739755999928
1,6,3,7.292851669000015
1,6,4,7.331422610000004
1,6,5,7.142660718000002
1,6,6,7.149082409000016
1,6,7,7.196917360999919
1,6,8,7.196414589000028
1,6,9,7.263380864000055
1,7,1,8.378007589000049
1,7,2,8.385288854999999
1,7,3,8.36392695699999
1,7,4,8.378843497999924
1,7,5,8.350692988999981
1,7,6,8.500080222000065
1,7,7,8.456133724999972
1,7,8,8.368142975000069
1,7,9,8.334321986000077
1,8,1,9.640688014000034
1,8,2,9.488960281999994
1,8,3,9.517510645000016
1,8,4,9.549783171000058
1,8,5,9.611491479000051
1,8,6,9.540291774000025
1,8,7,9.592377929000008
1,8,8,9.599674373000084
1,8,9,9.481648515000074
1,9,1,10.742296088999979
1,9,2,10.755008857999997
1,9,3,10.642808756000022
1,9,4,10.764741041999969
1,9,5,10.775066466999988
1,9,6,10.800235207000014
1,9,7,10.770620269000005
1,9,8,10.730755990000034
1,9,9,10.683496764999973
1,10,1,11.920978416000025
1,10,2,11.967095651000022
1,10,3,11.911756072999992
1,10,4,12.155052979999937
1,10,5,12.065420946000017
1,10,6,11.991914473000065
1,10,7,12.087796357999991
1,10,8,11.996009263000019
1,10,9,12.065101746999972
1,11,1,13.115855298999918
1,11,2,13.152216321999958
1,11,3,13.146743804000039
1,11,4,13.089820835000069
1,11,5,13.142552034999994
1,11,6,13.032906005999962
1,11,7,13.118208672000037
1,11,8,13.112072817000126
1,11,9,13.188982313999986
1,12,1,14.261873974000082
1,12,2,14.301179802999968
1,12,3,14.358118521000051
1,12,4,14.370111193999946
1,12,5,14.439281175000133
1,12,6,14.361773611999979
1,12,7,14.354322690000117
1,12,8,12.50020782699994
1,12,9,6.2790924910000285
1,13,1,13.600662101000125
1,13,2,17.183605754000155
1,13,3,5.8845248909999555
1,13,4,8.959621234999986
1,13,5,15.791691211999932
1,13,6,15.860159104000104
1,13,7,15.788057836999997
1,13,8,15.179544191999867
1,13,9,15.766178217999823
1,14,1,16.66032429200004
1,14,2,16.74574225399988
1,14,3,16.88827653999988
1,14,4,16.73468635800009
1,14,5,16.79714458400008
1,14,6,16.76915239599998
1,14,7,16.69876401700003
1,14,8,16.789402341999903
1,14,9,16.70181836300003
1,15,1,17.960655353999982
1,15,2,17.917977658999916
1,15,3,18.00359330299989
1,15,4,19.997726233000094
1,15,5,28.860114081999882
1,15,6,32.03824726100015
1,15,7,17.75491211099984
1,15,8,11.312132757999962
1,15,9,14.996630122999932
2,1,1,1.922133027999962
2,1,2,1.6191154859998278
2,1,3,1.5531344390001323
2,1,4,1.8309375430001182
2,1,5,1.4244014839998727
2,1,6,1.479037131000041
2,1,7,1.4150714309998875
2,1,8,1.5782370919998812
2,1,9,3.7128897559998677
2,2,1,3.6083265770000708
2,2,2,2.3572596019998855
2,2,3,4.039647111000022
2,2,4,6.338410771000099
2,2,5,6.012228289000177
2,2,6,3.091688890999876
2,2,7,4.2070218930000465
2,2,8,4.189336224000044
2,2,9,2.245780572000058
2,3,1,3.119704304999914
2,3,2,3.124052521999829
2,3,3,7.611467191999964
2,3,4,6.236068493000175
2,3,5,5.39839646900009
2,3,6,5.028070724999907
2,3,7,4.220490707999943
2,3,8,4.741306542000075
2,3,9,7.67183276500009
2,4,1,6.389457982000067
2,4,2,3.937845472999925
2,4,3,3.971274287000142
2,4,4,4.153184092999936
2,4,5,3.9679477080001107
2,4,6,4.018542962000083
2,4,7,6.075001237000151
2,4,8,8.974280249000003
2,4,9,6.212963122000019
2,5,1,6.305447291000064
2,5,2,6.706552014999943
2,5,3,9.389206075999937
2,5,4,9.018738538999969
2,5,5,13.719584052000073
2,5,6,9.814164576000167
2,5,7,9.744036471999834
2,5,8,7.314873985000077
2,5,9,9.783076648999895
2,6,1,6.034225382000159
2,6,2,10.371302485999877
2,6,3,14.487306727000032
2,6,4,7.192960481
2,6,5,5.944797294000182
2,6,6,6.147845465999808
2,6,7,5.912015839000105
2,6,8,5.88229715600005
2,6,9,5.913722315000086
2,7,1,6.869935626999904
2,7,2,6.983046017999868
2,7,3,6.877909635000151
2,7,4,6.822505630000023
2,7,5,6.906908892999809
2,7,6,6.834065588000158
2,7,7,6.841495790000181
2,7,8,6.843960849000041
2,7,9,6.853764591000072
2,8,1,7.785323753000057
2,8,2,8.280775677999827
2,8,3,10.826961344999972
2,8,4,7.898236814000029
2,8,5,7.886158310999917
2,8,6,8.277603842999952
2,8,7,7.874820046999957
2,8,8,7.7898697140003605
2,8,9,7.821210607000012
2,9,1,8.762814831000014
2,9,2,8.85674897700028
2,9,3,8.724945272999776
2,9,4,8.725617991000036
2,9,5,9.312091498999962
2,9,6,8.781061537000369
